Medicine Ball Overhead Throw (with partner), 7490000
Medicine Ball Pullover Throw (with partner), 11500000
Medicine Ball Pullover Throw (with partner standing), 9090000
Medicine Ball Pullover Throw (against wall), 7080000
Medicine Ball Slam Bounce, 6090000
Medicine Ball Chest Throw (with partner), 34900000
Medicine Ball Side Throw (with partner), 47400000
Wall Plyo Push-up, 694000
Medicine Ball Chest Throw (on rebounder), 10100000
Medicine Ball One Arm Throw (with partner), 30500000
Medicine Ball Side Throw, 26900000
Medicine Ball Chest Throw (on wall), 30200000
Plank Shuffle (on medicine ball), 2120000
Shoulder Tap Push-up, 44000000
Medicine Ball Lying Chest Throw, 9220000
Incline Plyo Push-up, 104000
Kneeling Plyo Push-up, 76400
Kneeling Plyo Push-up (feet against wall), 171000
Plyo Push-up Shuffle (on knees and Bosu), 50300
Plyo Push-up Shuffle (on medicine ball), 380000
Self-assisted Plyo Push-up (on medicine ball), 474000
Depth Push-up (on knees), 10600000
Depth Push-up (on Medicine Ball), 47400000
Clap Push-up, 11300000
Clap Push-up on Ball, 10400000
Depth Push-up, 214000000
Depth Push-up (feet elevated), 184000000
Medicine Ball Squat and Overhead Throws, 2480000
Medicine Ball Wall Shot, 37900000
Medicine Ball Overhead Backward Throw, 6770000
Medicine Ball Squat and Forward Throw, 7090000
Medicine Ball Squat and Overhead Throw, 1350000
Medicine Ball Squat and Underhand Forward Throw, 250000
Jog, 252000000
Run, 10670000000
Sprint, 435000000
Burpee, 18600000
Burpee (advanced), 3630000
Burpee Push-up, 2320000
Jumping Jack, 73900000
Mountain Climber, 30400000
Side Lunge, 22200000
Walking Lunge, 12900000
Back Pedal, 166000000
Bear Crawl, 29200000
Butt Kick, 54300000
Crab Walk, 51400000
Crab Walk (backward), 36000000
Grapevine, 69100000
High Knee Run, 218000000
Lateral Shuffle, 4970000
Skip, 11220000000
Sprint to Turn, 77400000
Tapioca, 85100000
Jump Rope: Alternating Leg Hop, 12900000
Jump Rope: Boxer Step, 10400000
Jump Rope: Basic Hop, 30800000
Jump Rope: Criss Cross, 4390000
Jump Rope: Single Leg Criss Cross, 18900000
Jump Rope: Double Under, 36100000
Jump Rope: Heel Tap, 12200000
Jump Rope: Jog Step, 3590000
Jump Rope: Keltic Step, 121000
Jump Rope: Side Swing, 19500000
Jump Rope: Alternating Hop Side Swing, 21100000
Jump Rope: Twister, 5810000
Jump Rope: Toe Tap, 17700000
Swim: Back Stroke, 34300000
Swim: Breast Stroke, 19900000
Swim: Butterfly, 69200000
Climb Mill / Tread Wall, 6090000
Climber, 144000000
Ladder Mill (Jacob's Ladder), 12100000
Bicycling, 75900000
Cycle Cross-Trainer, 37000000
Cycle Ergometer, 4930000
Recumbent Cycle, 7600000
Recumbent Cycle Cross Trainer, 4710000
Recumbent Upright Cycle, 4050000
Elliptical Cross-Trainer, 7780000
Elliptical Glider, 2000000
Elliptical Trainer, 11000000
Recumbent Elliptical Cross Trainer, 1350000
Kayak Machine, 35500000
Rider, 930000000
Row Ergometer, 564000000
Row Ergometer (canoe stroke), 267000
Ski Machine (cords), 18200000
Ski Machine (rails), 37000000
Ski Ergometer, 1540000
Recumbent Stepper, 1180000
Recumbent Stepper Cross Trainer, 586000
Stair Climber, 4270000
Stepmill, 373000
Tread Climber, 657000
Treadmill Run, 37800000
Treadmill Walk, 32600000
Treadmill Walk (workstation), 3470000
Arm Ergometer, 3670000
Mini Tramp, 9130000
Skate Machine, 40800000
Wave Machine, 552000000
Kettlebell Deadlift, 9720000
Kettlebell Press, 13200000
Kettlebell Sumo Deadlift, 575000
Kettlebell Two Arm Swing, 2260000
Kettlebell Two Arm Overhead Swing, 1290000
Kettlebell Two Arm Swing Catch, 2070000
Kettlebell Swing, 5010000
Kettlebell Alternating Swing Catch, 438000
Kettlebell Alternating Swing Flip Catch, 2040000
Kettlebell Bent-knee Windmill, 916000
Kettlebell Windmill, 691000
Kettlebell Farmer's Walk, 114000
Kettlebell Turkish Get-up, 2140000
Kettlebell Clean, 9350000
Kettlebell Clean and Press, 6530000
Kettlebell Snatch, 1280000
Kettlebell Split Snatch, 173000
Kettlebell Front Squat, 3810000
Kettlebell Goblet Squat, 901000
Kettlebell Overhead Split Squat, 364000
Kettlebell Overhead Rear Lunge, 207000
Kettlebell Straight-leg Deadlift, 593000
