Cable Neck Flexion, 15300000
Cable Neck Flexion (with belt), 17800000
Cable Neck Rotation (with belt), 21100000
Cable Lateral Neck Flexion (with belt), 3010000
Lever Neck Flexion (plate loaded), 727000
